"Source:","http://www.lib.berkeley.edu/MRC/SSEAsiaVid.html"
"

"
"Contents:","â€¢149;Ѭ href=""#India"">South Asia: Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri LankaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/sseasianamvid.html#south"">South Asian DiasporaЖ (separate page)
","â€¢149;Ѭ href=""#nepaltibet"">Tibet and NepalЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Vietnam, Laos, Cambodia, Thailand, BurmaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Indonesia / East TimorЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">Australia/MelanesiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">MalaysiaЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html"">PhilippinesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/SSEAsiaVid2.html#pacific"">Pacific IslandsЖ"
"See also the following MRC Videographies:","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/AsianAmvid.html"">Asian American StudiesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/indianfilm.html"">South and East Asian cinemaЖ - films by South/Southeast Asian filmmakers","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/imagesasians.html"">The Movies, Race, and Ethnicity - a listing of movies with South/Southeast Asian diaspora themesЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/ReligionVid.html"">Religions and Myths of the WorldЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/EthnographyVid.html"">Ethnography and Folk CultureЖ","â€¢149;Ѭ href=""http://www.lib.berkeley.edu/MRC/PACSVid.html#viet"">Peace and Conflict StudiesЖ - documentaries and movies on the Vietnamese War"
"On the Road with the Red God Machhendranath","Captures the complex human elements behind the wheeled chariot festival of the deity Rato Machhendranath of the Kathmadu Valley, one of Asia's greatest ancient religious festivals. Instead of exotic idealised depictions of tradition, the film portrays the gritty reality of the festival where confict or solidarity can prevail, maping the dynamic interplay between tradition and modernity. Directed and written by Kesang Tseten. 2005. 72 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+6712"">DVD 6712Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Once This Land Was Ours.","A poetic documentary about women agriculture workers in India and their struggle to provide for their families. 1991. 19 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3359"">Video/C 3359Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"One Hundred Years of Drought","Examines the causes of recurrent drought in Maharashtra. Demonstrates the extent to which drought is a man-made phenomenon, including a review of the impact of colonial rule and the famine policy, as well as the post-independence path of development which has resulted in deforestation, soil erosion and depletion of ground water reserves. Examines alternative approaches involving people's participation in integrated watershed management based on the principles of sustainable development. 1993. 21 min. PAL format

","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+475"">Video/C 475Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Other Side of Outsourcing","What happens when the demands of the global economy with all of its excess baggage of Westernizing forces collides with the deeply held traditions of an age-old culture like India's? Pulitzer Prize-winning journalist Thomas L. Friedman heads to the heart of the conflict and examines how this clash of cultures is affecting the everyday lives of Indian workers, many of them young people, who are caught in the middle. Learn how this noble, proud society is coping with a struggle unlike any it's ever faced: balancing the desire to benefit from the opportunities offered by the new world market with internal efforts to protect their cultural heritage from the eroding influence of American values. 2004. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+3508"">DVD 3508Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Outsourcing: White Collar Exodus","Contents: The death of distance -- A twist of the twine -- My job went to India and all I got was this lousy t-shirt -- Regulation -- Good-bye middle class -- Sushi and tulips -- There is only one constant: change. More than two million jobs have been outsourced from the U.S. to India since 2000. This documentary explores factors that encourage the outsourcing (U.S. laws, special training and cheap wages in India ...) and the impact the outsourcing has on both the U.S. and Indian workers. Analysts consider possible U.S. policy and natural economic responses to the outsourcing. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 2005. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+4515"">DVD 4515Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Painted Ballad of India.","Takes place in the desert village of Rajasthan, on the western side of North India. Examines the painting of horizontal scrolls. The camera follows the ballad singer as he begins with the tale of Pabuji. The themes of his songs vary from ancient legends to contemporary social and political problems. 1980. 30 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+2376"">Video/C 2376Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pakistan, Past and Present","Documentary on socio-cultural and geographical aspects of Pakistan. 1999? 20 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9503"">Video/C 9503Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Panah.","A Pakistan television Urdu drama on the agonies and sufferings of Afghan refugees due to the Soviet invasion of Afghanistan. 1985. 90 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3800"">Video/C 3800Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pandit Nehru: A Profile.","This film recounts the historic role played by Pandit Nehru, the first prime minister of an independent India. The film traces the development of his resistance to British rule and his socialist philosophy. It shows the mutal admiration he and Ghandi had for one another and how their differences complemented each other. Film includes archival footage of India's independence and the civil war that split India from Pakistan. 1996. 22 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4912"">Video/C 4912Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pani Panchayat: Alternatives in Development.","Documents a water co-operative movement of small farmers in drought prone Taluka of Maharashtra. In part I the co-operative movement in Pani Panchayat is juxtaposed with the state's promotion of large irrigation projects while Part II appraises the effectiveness of water supply efforts at Pani Panchayat as an alternative model. 1990. 50 min. PAL format 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+474"">Video/C 474Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Panihari: The Water Women of India","Looks at life in the desert communities of Rajasthan in India's Thar Desert. The film centers around the life of Paru, one of the Panihari (women who fetch water) as she struggles against nature and society to attain self-reliance for her family and herself. A film by Abi Devan and Sudhi Rajagopal. 2006. 30 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+5330"">DVD 5330Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pardesi Aeen Pyar.","In Sindhi. Feature film focussing on the ever increading incidence of dacoities, kidnappings and murders in the interior of Sindh, Pakistan. The ring leader of dacoits is killed along with his henchmen by a police officer who infiltrates their ranks disguised as a school teacher. 1980. 138 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3918"">Video/C 3918Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Partition of Pakistan.","In August 1947, Pakistan became a separate Muslim nation following the partitioning of India. This program examines the role of Pakistan's founder, Mohammed Ali Jinnah, in Pakistan's fight to be recognized as a separate nation. It traces Jinnah's evolution from supporter of a British plan to preserve India as a single nation with Muslim autonomy, through his contentious relationship with Mahatma Gandhi, to his ultimate role as leader of the Pakistani separatist movement. Jinnah's legacy is examined in India and Pakistan, where he is alternately vilified and deified. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1998. 50 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6113"">Video/C 6113Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pastoral Politics: A Film on the Gaddi Herders of Himachal Pradesh","This profile of the life and customs of the Gaddi goat and sheep herders of Himachal Pradesh, India also takes a critical look at the proposal by the Dept. of Agriculture's Forestry Division of the Government of India to plant forests on the traditional grazing areas of the Gaddi herders, and the consequent changes (with mixed results) in the Gaddi herders' lifestyle. c1998. 29 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8153"">Video/C 8153Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Patently Obvious","Protection of intellectual property is the foundation of the 21st century's new knowledge economy. In the Indian state of Gujarat, Professor Anil Gupta travels from village to village seeking out grassroots inventors and helping them document their work and protect it with patents. Gupta's work not only helps these traditional knowledge keepers earn more money, but also allows them to earn respect and interest from the next generation. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+8941"">Video/C 8941Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/cl.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Patents and Patients. (Life; 39)","In India the drug company Cipla produces generic copies of anti-retroviral drugs whose patents officially belong to pharmaceutical giants like Bristol Myers Squibb. But without a proper health infrastructure to ensure that the drugs are properly administered to patients, India faces the risk of a drug-resistant HIV explosion. c2002. 23 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9848"">Video/C 9848Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.bullfrogfilms.com/catalog/l3pap.html"">Bullfrog Films catalog descriptionЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Perspectives on Mental Health.","Traces the history of mental health services in India and the changing paradigms of mental illness, treatment, and rehabilitation, underlying these interventions. The models and approaches adopted by various institutions are explored, in the light of the need for low-cost, appropriate and accessible alternatives in the Indian context. 1991. 60 min. PAL format. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4898"">Video/C 4898Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Phantom India (L'Inde fantôme)","Louis Malle called his gorgeous and ground breaking Phantom India the most personal film of his career. And this extraordinary journey to India, originally shown as a miniseries on European television, is infused with his sense of discovery, as well as occasional outrage, intrigue, and joy. Directed by Louis Malle. 1969. 363 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7512"">DVD 7512Ж","â€¢149;Ѭ href=""http://www.imdb.com/title/tt0063914/"">Credits and other information from the Internet Movie DatabaseЖ
","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Photo Finish(Connections2 ; 7)","Uses the photographs to be taken of the Le Mans race winner as a backdrop to explore the interconnections between the development of photography, aerodynamics, celluloid, relativity, sound motion pictures, the timber industry, gaslight, creosote, the rubber industry, zeplins, and gasoline engines. 1994. 25 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3324"">Video/C 3324Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Photo Wallahs: An Encounter with Photography in Mussoorie, a North Indian Hill Station","The film focuses on the photographers of Mussoorie, a hill station in the Himalayan foothills of northern India whose fame has attracted tourists since the 19th century. Through a rich mixture of scenes that includes the photographers at work, their clients, and both old and new photographs, this film examines photography as art and as social artifact. 1991. 60 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+9413"">Video/C 9413Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149;Ѭ href=""http://www.berkeleymedia.com/catalog/berkeleymedia/films/arts_humanities/photo_wallahs"">Description from Berkeley Media CatalogЖ","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pilgrimage to Pittsburgh.","In 1987 revisits the Lord Venkateshvara temple near Pittsburgh, PA to celebrate its 10th anniversary. Illustrates the many ways in which the temple brings together Indians living in America and imparts cultural awareness to their children. 1990. 25 min.
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+3382"">Video/C 3382Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pink Saris","The ""Pink Gang"" is a group of women who wear pink saris as a symbol of their revolt against their society. They are victims of domestic violence, rape and social exclusion. Their champion is Sampat Pal Devi, who takes up their cases of social injustice, often perpetrated by their husbands' extended families, with whom they're forced to live. Declaring 'women have nothing but their tears; what else do they have?', Sampat Pal has learned from experience. Once a child-bride and a victim of abuse herself, Sampat has no fear. She fought back and escaped the family, and now beleaguered women from throughout Uttar Pradesh seek her out, looking for the support and strength to do the same. Sampat Pal laudably takes up their causes, dramatically throwing herself into the middle of family dramas, yet for all her spirited righteousness, she can be forced to compromise in the face of the entrenched conventions and traditions she is railing against. A film by Kim Longinotto with Amber Latiff and Girjashankar Vohra. 2010. 96 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+X7106"">DVD X7106Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Related web sites:","â€¢149; Ѭ href=""http://www.wmm.com/filmcatalog/page.shtml"">Women Make Movies catalog descriptionЖ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/es%2Fc789"">s/c789Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Plants for the Environment.","In overpopulated Bangladesh people are threatening the environment by destroying trees to meet daily needs. This film examines the consequences of deforestation. 1997. PAL format. 9 min. 
","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+6173"">Video/C 6173Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Portraits of a Lane: A Short Film on Khotachiwadi","Documentary on Khotachiwadi in Mumbai, a nineteenth century settlement that actually belongs to Mumbai's East Indian Christians whose forefathers are believed to have worked for the British East India Company. Most of them are a mix of Portuguese and Indian origin, and the quaint old houses with their trellised balconies and latticed windows look like a forgotten pocket of Portugal. 2004? 20 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eDVD+7206"">DVD 7206Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Poverty, Politics, and Religion: The Plight of India's Poor","Charges against Christian missionaries for unlawful conversions and desecration of Hindu shrines are fodder for militant Hindu revivalists who seek to claim converts for themselves -- and justification for their acts of violence against India's Christian minority. This gripping program investigates the political agendas behind the violence, as the tribal poor, many of whom have benefitted socioeconimically from embracing Christianity, are coercively reclaimed by a Hinduism of which they were never a part. Dist: Ѭ href=""http://www.films.com"">Films Media Group.Ж 1999. 32 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+7031"">Video/C 7031Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"The Preferred Sex...The Desired Number.","In many societies, a woman is valued according to her reproductive efficiency. Her status in family and community depends on her ability to bear children of the desired number and of the desired sex. Film investigates the condition of women in Nigeria and India through interviews with husbands, wives, clergy and family planning personnel. 1995. 53 min. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+4011"">Video/C 4011Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
"Pramila and Parvati.","Explores perceptions of two visually disabled women in India who speak of their experiences of childhood, getting an education, finding employment, marriage and the challenges of parenting their sighted children. Also outlines the children's perception of blindness and their aspirations for the future. 199? 35 min. PAL format. ","Ѭ href=""http://oskicat.berkeley.edu/search~S1?/eVideo%2FC+468"">Video/C 468Ж","South AsiaЖ (Afghanistan, Bhutan, India, Pakistan, Bangladesh, Sri Lanka)"
